distributorCode,beatCode,retailerCode,sequenceNumber
120419,N2P50850,HT100526,1
120419,N2P50850,HT100527,2
120419,N2P50850,HT100523,3
120419,N2P50850,HT100593,4
120419,N2P50850,HT100491,5
120419,N2P50850,HT100524,6
120419,N2P50850,HT100522,7
120419,N2P50850,HT100480,8
120419,N2P50850,HT100977,9
120419,N2P50850,HT100606,10
120419,N2P50850,HT100607,11
120419,N2P50850,HT100608,12
120419,N2P50850,HT100594,13
120419,N2P50850,HT100595,14
120419,N2P50850,HT100596,15
120419,N2P50850,HT100597,16
120419,N2P50850,HT100599,17
120419,N2P50850,HT100609,18
120419,N2P50850,HT100610,19
120419,N2P50850,HT100611,20
120419,N2P50850,HT100600,21
120419,N2P50850,HT100497,22
120419,N2P50850,HT101000,23
120419,N2P50850,HT100978,24
120419,N2P50850,HT101016,25
120419,N2P50850,HT100975,26
120419,N2P50850,HT101029,27
120419,N2P50850,HT100131,28
120419,N2P50850,HT100132,29
120419,N2P50850,HT100134,30
120419,N2P50850,HT101070,31
120419,N2P50850,HT101087,32
120419,N2P50850,HT101020,33
120419,N2P50850,HT100976,34
120419,N2P50850,HT100265,35
120419,N2P50850,HT100267,36
120419,N2P50850,HT100268,37
120419,N2P50850,HT100981,38
120419,N2P50850,HT100982,39
120419,N2P50850,HT100997,40
120419,N2P50850,HT100998,41
120419,N2P50850,HT100999,42
120419,N2P50850,HT101019,43
120419,N2P50851,HT100298,1
120419,N2P50851,HT100247,2
120419,N2P50851,HT100311,3
120419,N2P50851,HT100293,4
120419,N2P50851,HT100294,5
120419,N2P50851,HT100295,6
120419,N2P50851,HT100296,7
120419,N2P50851,HT100605,8
120419,N2P50851,HT101049,9
120419,N2P50851,HT101050,10
120419,N2P50851,HT101051,11
120419,N2P50851,HT101053,12
120419,N2P50851,HT101054,13
120419,N2P50851,HT101055,14
120419,N2P50851,HT101056,15
120419,N2P50851,HT100309,16
120419,N2P50851,HT100310,17
120419,N2P50851,HT100313,18
120419,N2P50851,HT100938,19
120419,N2P50851,HT100314,20
120419,N2P50851,HT100299,21
120419,N2P50851,HT100300,22
120419,N2P50851,HT100621,23
120419,N2P50851,HT100581,24
120419,N2P50851,HT100304,25
120419,N2P50851,HT100305,26
120419,N2P50851,HT100306,27
120419,N2P50851,HT100307,28
120419,N2P50851,HT100308,29
120419,N2P50851,HT100323,30
120419,N2P50851,HT100324,31
120419,N2P50851,HT100572,32
120419,N2P50851,HT100326,33
120419,N2P50851,HT100154,34
120419,N2P50851,HT100622,35
120419,N2P50851,HT101165,36
120419,N2P50851,HT101319,37
120419,N2P50851,HT101154,38
120419,N2P50851,HT101294,39
120419,N2P50851,HT101295,40
120419,N2P50852,HT100811,1
120419,N2P50852,HT100812,2
120419,N2P50852,HT100718,3
120419,N2P50852,HT101372,4
120419,N2P50852,HT101378,5
120419,N2P50852,HT100747,6
120419,N2P50852,HT100748,7
120419,N2P50852,HT100750,8
120419,N2P50852,HT100751,9
120419,N2P50852,HT100752,10
120419,N2P50852,HT100753,11
120419,N2P50852,HT100754,12
120419,N2P50852,HT100755,13
120419,N2P50852,HT100790,14
120419,N2P50852,HT100727,15
120419,N2P50852,HT100538,16
120419,N2P50852,HT100749,17
120419,N2P50852,HT101371,18
120419,N2P50852,HT100719,19
120419,N2P50852,HT100720,20
120419,N2P50852,HT100789,21
120419,N2P50852,HT101374,22
120419,N2P50852,HT101370,23
120419,N2P50852,HT100731,24
120419,N2P50852,HT100729,25
120419,N2P50852,HT100730,26
120419,N2P50852,HT100733,27
120419,N2P50852,HT100728,28
120419,N2P50852,HT100800,29
120419,N2P50852,HT100765,30
120419,N2P50852,HT100539,31
120419,N2P50852,HT100688,32
120419,N2P50852,HT100689,33
120419,N2P50852,HT100691,34
120419,N2P50852,HT100692,35
120419,N2P50852,HT100455,36
120419,N2P50852,HT100331,37
120419,N2P50852,HT100332,38
120419,N2P50852,HT100807,39
120419,N2P50852,HT100189,40
120419,N2P50852,HT100479,41
120419,N2P50853,HT100795,1
120419,N2P50853,HT100845,2
120419,N2P50853,HT100008,3
120419,N2P50853,HT100010,4
120419,N2P50853,HT100004,5
120419,N2P50853,HT100892,6
120419,N2P50853,HT100893,7
120419,N2P50853,HT100328,8
120419,N2P50853,HT100344,9
120419,N2P50853,HT100894,10
120419,N2P50853,HT100902,11
120419,N2P50853,HT100903,12
120419,N2P50853,HT100904,13
120419,N2P50853,HT100260,14
120419,N2P50853,HT100889,15
120419,N2P50853,HT100887,16
120419,N2P50853,HT100888,17
120419,N2P50853,HT100884,18
120419,N2P50853,HT100885,19
120419,N2P50853,HT100890,20
120419,N2P50853,HT100883,21
120419,N2P50853,HT100881,22
120419,N2P50853,HT100882,23
120419,N2P50853,HT100066,24
120419,N2P50853,HT101458,25
120419,N2P50853,HT101395,26
120419,N2P50853,HT101396,27
120419,N2P50853,HT101397,28
120419,N2P50853,HT101390,29
120419,N2P50853,HT101392,30
120419,N2P50853,HT101459,31
120419,N2P50853,HT101462,32
120419,N2P50853,HT101391,33
120419,N2P50853,HT101388,34
120419,N2P50853,HT101389,35
120419,N2P50853,HT101308,36
120419,N2P50853,HT101401,37
120419,N2P50853,HT101402,38
120419,N2P50853,HT101386,39
120419,N2P50853,HT101403,40
120419,N2P50853,HT101404,41
120419,N2P50854,HT101028,1
120419,N2P50854,HT100266,2
120419,N2P50854,HT100555,3
120419,N2P50854,HT100552,4
120419,N2P50854,HT100197,5
120419,N2P50854,HT100979,6
120419,N2P50854,HT100980,7
120419,N2P50854,HT100991,8
120419,N2P50854,HT100992,9
120419,N2P50854,HT100993,10
120419,N2P50854,HT100994,11
120419,N2P50854,HT100995,12
120419,N2P50854,HT100996,13
120419,N2P50854,HT101018,14
120419,N2P50854,HT101021,15
120419,N2P50854,HT101022,16
120419,N2P50854,HT101023,17
120419,N2P50854,HT101024,18
120419,N2P50854,HT101025,19
120419,N2P50854,HT101064,20
120419,N2P50854,HT101069,21
120419,N2P50854,HT101071,22
120419,N2P50854,HT101072,23
120419,N2P50854,HT101081,24
120419,N2P50854,HT100553,25
120419,N2P50854,HT101060,26
120419,N2P50854,HT100140,27
120419,N2P50854,HT100141,28
120419,N2P50854,HT100142,29
120419,N2P50854,HT100143,30
120419,N2P50854,HT100136,31
120419,N2P50854,HT100137,32
120419,N2P50854,HT100138,33
120419,N2P50854,HT100139,34
120419,N2P50854,HT100554,35
120419,N2P50854,HT100144,36
120419,N2P50854,HT100146,37
120419,N2P50854,HT100147,38
120419,N2P50854,HT100148,39
120419,N2P50854,HT101017,40
120419,N2P50854,HT101033,41
120419,N2P50855,HT100460,1
120419,N2P50855,HT101354,2
120419,N2P50855,HT101355,3
120419,N2P50855,HT101357,4
120419,N2P50855,HT101358,5
120419,N2P50855,HT101359,6
120419,N2P50855,HT100721,7
120419,N2P50855,HT101377,8
120419,N2P50855,HT100551,9
120419,N2P50855,HT100549,10
120419,N2P50855,HT101381,11
120419,N2P50855,HT100576,12
120419,N2P50855,HT100799,13
120419,N2P50855,HT100536,14
120419,N2P50855,HT100732,15
120419,N2P50855,HT100537,16
120419,N2P50855,HT100496,17
120419,N2P50855,HT101375,18
120419,N2P50855,HT101376,19
120419,N2P50855,HT100550,20
120419,N2P50855,HT100016,21
120419,N2P50855,HT100027,22
120419,N2P50855,HT100365,23
120419,N2P50855,HT100618,24
120419,N2P50855,HT100619,25
120419,N2P50855,HT100696,26
120419,N2P50855,HT100528,27
120419,N2P50855,HT100445,28
120419,N2P50855,HT100182,29
120419,N2P50855,HT100183,30
120419,N2P50855,HT100187,31
120419,N2P50855,HT100449,32
120419,N2P50855,HT100192,33
120419,N2P50855,HT100191,34
120419,N2P50855,HT100477,35
120419,N2P50855,HT100738,36
120419,N2P50855,HT100574,37
120419,N2P50856,HT100380,1
120419,N2P50856,HT100681,2
120419,N2P50856,HT100686,3
120419,N2P50856,HT100397,4
120419,N2P50856,HT100510,5
120419,N2P50856,HT101385,6
120419,N2P50856,HT101426,7
120419,N2P50856,HT101407,8
120419,N2P50856,HT101409,9
120419,N2P50856,HT101410,10
120419,N2P50856,HT101411,11
120419,N2P50856,HT101406,12
120419,N2P50856,HT101412,13
