distributorCode,beatCode,retailerCode,sequenceNumber
120410,N2P21601,HD102990,1
120410,N2P21601,HD102991,2
120410,N2P21601,HD102993,3
120410,N2P21601,HD102998,4
120410,N2P21601,HD102999,5
120410,N2P21601,HD103000,6
120410,N2P21601,HD103003,7
120410,N2P21601,HD103004,8
120410,N2P21601,HD103007,9
120410,N2P21601,HD103008,10
120410,N2P21601,HD103009,11
120410,N2P21601,HD103010,12
120410,N2P21601,HD103011,13
120410,N2P21601,HD103012,14
120410,N2P21601,HD103013,15
120410,N2P21601,HD103015,16
120410,N2P21601,HD103016,17
120410,N2P21601,HD103017,18
120410,N2P21601,HD103018,19
120410,N2P21601,HD103019,20
120410,N2P21601,HD103021,21
120410,N2P21601,HD103022,22
120410,N2P21601,HD103024,23
120410,N2P21601,HD103025,24
120410,N2P21601,HD103026,25
120410,N2P21601,HD103027,26
120410,N2P21601,HD103028,27
120410,N2P21601,HD103029,28
120410,N2P21601,HD103031,29
120410,N2P21601,HD103032,30
120410,N2P21601,HD103112,31
120410,N2P21601,HD103132,32
120410,N2P21601,HD103161,33
120410,N2P21601,HD103164,34
120410,N2P21601,HD101214,35
120410,N2P21601,HD101225,36
120410,N2P21601,HD102226,37
120410,N2P21601,HD102228,38
120410,N2P21601,HD102230,39
120410,N2P21601,HD102232,40
120410,N2P21601,HD103114,41
120410,N2P21601,HD103142,42
120410,N2P21601,HD101379,43
120410,N2P21601,HD102373,44
120410,N2P21601,HD102375,45
120410,N2P21601,HD102837,46
120410,N2P21601,HD103184,47
120410,N2P21601,HD103185,48
120410,N2P21601,HD102420,49
120410,N2P21602,HD101235,1
120410,N2P21602,HD101239,2
120410,N2P21602,HD101237,3
120410,N2P21602,HD101245,4
120410,N2P21602,HD101289,5
120410,N2P21602,HD101290,6
120410,N2P21602,HD101292,7
120410,N2P21602,HD101293,8
120410,N2P21602,HD101294,9
120410,N2P21602,HD101296,10
120410,N2P21602,HD101299,11
120410,N2P21602,HD101301,12
120410,N2P21602,HD101383,13
120410,N2P21602,HD101653,14
120410,N2P21602,HD101654,15
120410,N2P21602,HD101655,16
120410,N2P21602,HD101657,17
120410,N2P21602,HD101659,18
120410,N2P21602,HD101660,19
120410,N2P21602,HD101661,20
120410,N2P21602,HD101662,21
120410,N2P21602,HD101663,22
120410,N2P21602,HD102050,23
120410,N2P21602,HD102052,24
120410,N2P21602,HD102053,25
120410,N2P21602,HD102054,26
120410,N2P21602,HD102056,27
120410,N2P21602,HD102058,28
120410,N2P21602,HD102059,29
120410,N2P21602,HD102060,30
120410,N2P21602,HD102061,31
120410,N2P21602,HD102326,32
120410,N2P21602,HD102328,33
120410,N2P21602,HD102330,34
120410,N2P21602,HD102332,35
120410,N2P21602,HD102350,36
120410,N2P21602,HD102424,37
120410,N2P21602,HD102470,38
120410,N2P21603,HD102992,1
120410,N2P21603,HD101295,2
120410,N2P21603,HD101366,3
120410,N2P21603,HD101220,4
120410,N2P21603,HD101222,5
120410,N2P21603,HD101297,6
120410,N2P21603,HD102067,7
120410,N2P21603,HD101625,8
120410,N2P21603,HD101934,9
120410,N2P21603,HD101982,10
120410,N2P21603,HD102776,11
120410,N2P21603,HD102778,12
120410,N2P21603,HD101343,13
120410,N2P21603,HD102727,14
120410,N2P21604,HD101313,1
120410,N2P21604,HD101664,2
120410,N2P21604,HD101665,3
120410,N2P21604,HD101666,4
120410,N2P21604,HD101667,5
120410,N2P21604,HD101668,6
120410,N2P21604,HD101669,7
120410,N2P21604,HD101670,8
120410,N2P21604,HD101671,9
120410,N2P21604,HD101672,10
120410,N2P21604,HD101673,11
120410,N2P21604,HD101674,12
120410,N2P21604,HD101888,13
120410,N2P21604,HD101910,14
120410,N2P21604,HD101949,15
120410,N2P21604,HD101950,16
120410,N2P21604,HD102062,17
120410,N2P21604,HD102064,18
120410,N2P21604,HD102065,19
120410,N2P21604,HD102066,20
120410,N2P21604,HD102068,21
120410,N2P21604,HD102069,22
120410,N2P21604,HD102071,23
120410,N2P21604,HD102073,24
120410,N2P21604,HD102075,25
120410,N2P21604,HD102077,26
120410,N2P21604,HD102119,27
120410,N2P21604,HD102339,28
120410,N2P21604,HD102490,29
120410,N2P21604,HD102949,30
120410,N2P21604,HD103135,31
120410,N2P21604,HD103136,32
120410,N2P21604,HD102308,33
120410,N2P21604,HD102310,34
120410,N2P21604,HD102312,35
120410,N2P21604,HD102314,36
120410,N2P21604,HD102322,37
120410,N2P21604,HD102677,38
120410,N2P21604,HD102679,39
120410,N2P21604,HD102681,40
120410,N2P21604,HD102685,41
120410,N2P21604,HD102687,42
120410,N2P21605,HD101190,1
120410,N2P21605,HD101197,2
120410,N2P21605,HD101200,3
120410,N2P21605,HD101207,4
120410,N2P21605,HD101208,5
120410,N2P21605,HD102079,6
120410,N2P21605,HD102081,7
120410,N2P21605,HD102082,8
120410,N2P21605,HD102087,9
120410,N2P21605,HD102089,10
120410,N2P21605,HD102091,11
120410,N2P21605,HD102093,12
120410,N2P21605,HD102453,13
120410,N2P21605,HD102469,14
120410,N2P21605,HD102624,15
120410,N2P21605,HD102984,16
120410,N2P21605,HD103183,17
120410,N2P21605,HD103173,18
120410,N2P21605,HD101302,19
120410,N2P21605,HD101303,20
120410,N2P21605,HD101305,21
120410,N2P21605,HD101306,22
120410,N2P21605,HD101307,23
120410,N2P21605,HD101310,24
120410,N2P21605,HD101311,25
120410,N2P21605,HD101312,26
120410,N2P21605,HD101317,27
120410,N2P21605,HD101318,28
120410,N2P21605,HD101319,29
120410,N2P21605,HD101320,30
120410,N2P21605,HD101321,31
120410,N2P21605,HD101322,32
120410,N2P21605,HD101325,33
120410,N2P21605,HD101326,34
120410,N2P21605,HD101327,35
120410,N2P21605,HD101328,36
120410,N2P21605,HD101329,37
120410,N2P21605,HD101330,38
120410,N2P21605,HD101331,39
120410,N2P21605,HD102413,40
120410,N2P21605,HD102414,41
120410,N2P21605,HD102625,42
120410,N2P21605,HD103121,43
120410,N2P21606,HD103143,1
120410,N2P21606,HD101216,2
120410,N2P21606,HD101981,3
120410,N2P21606,HD102277,4
120410,N2P21606,HD102300,5
120410,N2P21606,HD102302,6
120410,N2P21606,HD102411,7
120410,N2P21606,HD102412,8
120410,N2P21606,HD102432,9
120410,N2P21606,HD102435,10
120410,N2P21606,HD102622,11
120410,N2P21606,HD102623,12
120410,N2P21606,HD102758,13
120410,N2P21606,HD102948,14
120410,N2P21606,HD103115,15
120410,N2P21606,HD103137,16
120410,N2P21606,HD102772,17
120410,N2P21606,HD102774,18
120410,N2P21606,HD102770,19
120410,N2P21606,HD102796,20
120410,N2P21606,HD102746,21
120410,N2P21606,HD102748,22
120410,N2P21606,HD102750,23
120410,N2P21606,HD102752,24
120410,N2P21606,HD102754,25
120410,N2P21606,HD102756,26
120410,N2P21606,HD102760,27
120410,N2P21606,HD102762,28
120410,N2P21606,HD102764,29
120410,N2P21606,HD102766,30
120410,N2P21606,HD102768,31
120410,N2P21606,HD102780,32
120410,N2P21606,HD102782,33
120410,N2P21606,HD102784,34
120410,N2P21606,HD102786,35
120410,N2P21606,HD102788,36
120410,N2P21606,HD102790,37
120410,N2P21606,HD102792,38
120410,N2P21606,HD102794,39
120410,N2P21606,HD102798,40
120410,N2P21606,HD102800,41
120410,N2P21606,HD102802,42
120410,N2P21606,HD102804,43
120410,N2P21606,HD101285,44
120410,N2P21606,HD101286,45
120410,N2P21606,HD101287,46
120410,N2P21606,HD101288,47
120410,N2P21606,HD101407,48
120410,N2P21607,HD101238,1
120410,N2P21607,HD101249,2
120410,N2P21607,HD101912,3
120410,N2P21607,HD102115,4
120410,N2P21607,HD102234,5
120410,N2P21607,HD102282,6
120410,N2P21607,HD102306,7
120410,N2P21607,HD102318,8
120410,N2P21607,HD102320,9
120410,N2P21607,HD102324,10
120410,N2P21607,HD102430,11
120410,N2P21607,HD102431,12
120410,N2P21607,HD102440,13
120410,N2P21607,HD102505,14
120410,N2P21607,HD102520,15
120410,N2P21607,HD102610,16
120410,N2P21607,HD102627,17
120410,N2P21607,HD102683,18
120410,N2P21607,HD102689,19
120410,N2P21607,HD102691,20
120410,N2P21607,HD102693,21
120410,N2P21607,HD102767,22
120410,N2P21607,HD102922,23
120410,N2P21607,HD102924,24
120410,N2P21607,HD102925,25
120410,N2P21607,HD102926,26
120410,N2P21607,HD102928,27
120410,N2P21607,HD102929,28
120410,N2P21607,HD103036,29
120410,N2P21607,HD103087,30
120410,N2P21607,HD103088,31
120410,N2P21607,HD103094,32
120410,N2P21607,HD103095,33
120410,N2P21607,HD103096,34
120410,N2P21607,HD103117,35
120410,N2P21607,HD103186,36
120410,N2P21607,HD102376,37
120410,N2P21607,HD102316,38
120410,N2P21608,HD101362,1
120410,N2P21608,HD101403,2
120410,N2P21608,HD102492,3
120410,N2P21608,HD101954,4
120410,N2P21608,HD101281,5
120410,N2P21608,HD101298,6
120410,N2P21608,HD101324,7
120410,N2P21608,HD101332,8
120410,N2P21608,HD101333,9
120410,N2P21608,HD101334,10
120410,N2P21608,HD101335,11
120410,N2P21608,HD101336,12
120410,N2P21608,HD101337,13
120410,N2P21608,HD101338,14
120410,N2P21608,HD101339,15
120410,N2P21608,HD101340,16
120410,N2P21608,HD101341,17
120410,N2P21608,HD101342,18
120410,N2P21608,HD101344,19
120410,N2P21608,HD101345,20
120410,N2P21608,HD101346,21
120410,N2P21608,HD101352,22
120410,N2P21608,HD101354,23
120410,N2P21608,HD101390,24
120410,N2P21608,HD101395,25
120410,N2P21608,HD101400,26
120410,N2P21608,HD101402,27
120410,N2P21608,HD101409,28
120410,N2P21608,HD101490,29
120410,N2P21608,HD101499,30
120410,N2P21608,HD101500,31
120410,N2P21608,HD101501,32
120410,N2P21608,HD101504,33
120410,N2P21608,HD101571,34
120410,N2P21608,HD101572,35
120410,N2P21608,HD101612,36
120410,N2P21608,HD101833,37
120410,N2P21608,HD101902,38
120410,N2P21608,HD101955,39
120410,N2P21608,HD101957,40
120410,N2P21608,HD101958,41
120410,N2P21608,HD101965,42
120410,N2P21608,HD101967,43
120410,N2P21608,HD101968,44
120410,N2P21608,HD101969,45
120410,N2P21608,HD101970,46
120410,N2P21608,HD102363,47
120410,N2P21608,HD102419,48
120410,N2P21608,HD102630,49
120410,N2P21608,HD102735,50
120410,N2P21608,HD103105,51
120410,N2P21608,HD103106,52
120410,N2P21608,HD103125,53
120410,N2P21608,HD102486,54
120410,N2P21608,HD101386,55
120410,N2P21608,HD101547,56
120410,N2P21608,HD101548,57
120410,N2P21609,HD101550,1
120410,N2P21609,HD101555,2
120410,N2P21609,HD101618,3
120410,N2P21609,HD101704,4
120410,N2P21609,HD101705,5
120410,N2P21609,HD101706,6
120410,N2P21609,HD101707,7
120410,N2P21609,HD101763,8
120410,N2P21609,HD101764,9
120410,N2P21609,HD101990,10
120410,N2P21609,HD103033,11
120410,N2P21609,HD103037,12
120410,N2P21609,HD103039,13
120410,N2P21609,HD103041,14
120410,N2P21609,HD103043,15
120410,N2P21609,HD103046,16
120410,N2P21609,HD103048,17
120410,N2P21609,HD103050,18
120410,N2P21609,HD103052,19
120410,N2P21609,HD103057,20
120410,N2P21609,HD101552,21
120410,N2P21609,HD101553,22
120410,N2P21609,HD101554,23
120410,N2P21609,HD101556,24
120410,N2P21609,HD101557,25
120410,N2P21609,HD101565,26
120410,N2P21609,HD101977,27
120410,N2P21609,HD101979,28
120410,N2P21609,HD101980,29
120410,N2P21609,HD101983,30
120410,N2P21609,HD101991,31
120410,N2P21609,HD101992,32
